ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
fASV74	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_hygrophilum	0.8659309
fASV76	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Paramyrothecium	NA	0.7957066
fASV77	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_persicinum	0.999993
fASV78	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	unidentified	0.9911211
fASV79	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_marquandii	0.9994607
fASV8	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA	0.9996698
fASV80	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophoma	Setophoma_terrestris	0.8979683
fASV81	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_oxalicum	0.9962519
fASV810	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	NA	0.9999998
fASV82	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_virilente	0.9933769
fASV83	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA	0.9344057
fASV84	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	unidentified	unidentified	0.9342703
fASV85	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9998404
fASV86	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_hominis	0.9529398
fASV87	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_hominis	0.9762687
fASV88	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	unidentified	0.9873719
fASV9	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus_arrhizus	1
fASV90	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_dichromosporum	0.9557694
fASV91	Fungi	Ascomycota	Sordariomycetes	Branch06	unidentified	unidentified	unidentified	1
fASV93	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA	0.8250471
fASV94	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Botryoderma	unidentified	0.7872212
fASV95	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	0.8113126
fASV96	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	0.915285
fASV97	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Trichocladium	Trichocladium_arxii	0.7796553
fASV98	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	unidentified	0.8564513
fASV99	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_amoeboidea	0.798975
