"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Germplasm"	"Treatment"	"Compartment"	"Block"	"Plot"
"4.21"	"Clostridia"	"CK_R10_1"	0.024656384	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.22"	"Bryobacterales"	"CK_R10_1"	0.011331445	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.23"	"Vicinamibacterales"	"CK_R10_1"	0.048893086	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.24"	"Bacillales"	"CK_R10_1"	0.040709265	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.25"	"Gaiellales"	"CK_R10_1"	0.078690589	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.26"	"Rhizobiales"	"CK_R10_1"	0.161368167	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.27"	"Burkholderiales"	"CK_R10_1"	0.130311615	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.28"	"Pyrinomonadales"	"CK_R10_1"	0.294827405	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"5"	"<0.5%"	"CK_R10_2"	0.01756641	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.1"	"Chthoniobacterales"	"CK_R10_2"	0.010539846	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.2"	"Dongiales"	"CK_R10_2"	0.002313625	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.3"	"Steroidobacterales"	"CK_R10_2"	0.003941731	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.4"	"Paenibacillales"	"CK_R10_2"	0.007283633	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.5"	"Solirubrobacterales"	"CK_R10_2"	0.006426735	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.6"	"Xanthomonadales"	"CK_R10_2"	0.004584404	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.7"	"Propionibacteriales"	"CK_R10_2"	0.006512425	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.8"	"Pseudomonadales"	"CK_R10_2"	0.009811482	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.9"	"Chloroflexales"	"CK_R10_2"	0.003127678	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.10"	"Frankiales"	"CK_R10_2"	0.003127678	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.11"	"Polyangiales"	"CK_R10_2"	0.009682948	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.12"	"Corynebacteriales"	"CK_R10_2"	0.012724936	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R10_2"	0.013624679	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.14"	"KD4-96"	"CK_R10_2"	0.008269066	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.15"	"Pseudonocardiales"	"CK_R10_2"	0.002870608	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.16"	"Microtrichales"	"CK_R10_2"	0.023479006	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.17"	"Micrococcales"	"CK_R10_2"	0.005612682	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.18"	"Chitinophagales"	"CK_R10_2"	0.005441302	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.19"	"Gemmatimonadales"	"CK_R10_2"	0.007969152	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
"5.20"	"Sphingomonadales"	"CK_R10_2"	0.01520994	"CK_R10_2"	"X10"	"Landrace"	"CK"	"Root"	2	"P05"
