SampleID	Genotype	Germplasm	Treatment	Compartment	Block	Plot
CK_R64_3	X64	Landrace	CK	Root	3	P11
CK_R65_1	X65	Landrace	CK	Root	1	P11
CK_R65_2	X65	Landrace	CK	Root	2	P11
CK_R65_3	X65	Landrace	CK	Root	3	P11
CK_R66_1	X66	Landrace	CK	Root	1	P11
CK_R66_2	X66	Landrace	CK	Root	2	P11
CK_R66_3	X66	Landrace	CK	Root	3	P11
CK_R67_1	X67	Landrace	CK	Root	1	P05
CK_R67_2	X67	Landrace	CK	Root	2	P05
CK_R67_3	X67	Landrace	CK	Root	3	P05
CK_R68_1	X68	Landrace	CK	Root	1	P14
CK_R68_2	X68	Landrace	CK	Root	2	P14
CK_R68_3	X68	Landrace	CK	Root	3	P14
CK_R69_1	X69	Landrace	CK	Root	1	P08
CK_R69_2	X69	Landrace	CK	Root	2	P08
CK_R69_3	X69	Landrace	CK	Root	3	P08
CK_R7_1	X7	Landrace	CK	Root	1	P11
CK_R7_2	X7	Landrace	CK	Root	2	P11
CK_R7_3	X7	Landrace	CK	Root	3	P11
CK_R70_1	X70	Landrace	CK	Root	1	P11
CK_R70_2	X70	Landrace	CK	Root	2	P11
CK_R70_3	X70	Landrace	CK	Root	3	P11
CK_R71_1	X71	Landrace	CK	Root	1	P14
CK_R71_2	X71	Landrace	CK	Root	2	P14
CK_R71_3	X71	Landrace	CK	Root	3	P14
CK_R72_1	X72	Landrace	CK	Root	1	P14
CK_R72_2	X72	Landrace	CK	Root	2	P14
CK_R72_3	X72	Landrace	CK	Root	3	P14
CK_R73_1	X73	Landrace	CK	Root	1	P05
CK_R73_2	X73	Landrace	CK	Root	2	P05
CK_R73_3	X73	Landrace	CK	Root	3	P05
CK_R74_1	X74	Landrace	CK	Root	1	P14
CK_R74_2	X74	Landrace	CK	Root	2	P14
CK_R74_3	X74	Landrace	CK	Root	3	P14
CK_R75_1	X75	Landrace	CK	Root	1	P08
CK_R75_2	X75	Landrace	CK	Root	2	P08
CK_R75_3	X75	Landrace	CK	Root	3	P08
CK_R76_1	X76	Landrace	CK	Root	1	P14
CK_R76_2	X76	Landrace	CK	Root	2	P14
CK_R76_3	X76	Landrace	CK	Root	3	P14
CK_R77_1	X77	Landrace	CK	Root	1	P11
CK_R77_2	X77	Landrace	CK	Root	2	P11
CK_R77_3	X77	Landrace	CK	Root	3	P11
CK_R78_1	X78	Landrace	CK	Root	1	P11
CK_R78_2	X78	Landrace	CK	Root	2	P11
CK_R78_3	X78	Landrace	CK	Root	3	P11
CK_R79_1	X79	Landrace	CK	Root	1	P05
CK_R79_2	X79	Landrace	CK	Root	2	P05
CK_R79_3	X79	Landrace	CK	Root	3	P05
CK_R8_1	X8	Landrace	CK	Root	1	P11
CK_R8_2	X8	Landrace	CK	Root	2	P11
CK_R8_3	X8	Landrace	CK	Root	3	P11
CK_R80_1	X80	Landrace	CK	Root	1	P11
CK_R80_2	X80	Landrace	CK	Root	2	P11
CK_R80_3	X80	Landrace	CK	Root	3	P11
CK_R81_1	X81	Landrace	CK	Root	1	P05
CK_R81_2	X81	Landrace	CK	Root	2	P05
CK_R81_3	X81	Landrace	CK	Root	3	P05
CK_R82_1	X82	Landrace	CK	Root	1	P14
CK_R82_2	X82	Landrace	CK	Root	2	P14
CK_R82_3	X82	Landrace	CK	Root	3	P14
CK_R83_1	X83	Landrace	CK	Root	1	P05
CK_R83_2	X83	Landrace	CK	Root	2	P05
CK_R83_3	X83	Landrace	CK	Root	3	P05
CK_R84_1	X84	Landrace	CK	Root	1	P14
CK_R84_2	X84	Landrace	CK	Root	2	P14
CK_R84_3	X84	Landrace	CK	Root	3	P14
CK_R85_1	X85	Landrace	CK	Root	1	P08
CK_R85_2	X85	Landrace	CK	Root	2	P08
CK_R85_3	X85	Landrace	CK	Root	3	P08
CK_R86_1	X86	Landrace	CK	Root	1	P11
CK_R86_2	X86	Landrace	CK	Root	2	P11
CK_R86_3	X86	Landrace	CK	Root	3	P11
CK_R87_1	X87	Landrace	CK	Root	1	P14
CK_R87_2	X87	Landrace	CK	Root	2	P14
CK_R87_3	X87	Landrace	CK	Root	3	P14
CK_R88_1	X88	Landrace	CK	Root	1	P14
CK_R88_2	X88	Landrace	CK	Root	2	P14
CK_R88_3	X88	Landrace	CK	Root	3	P14
CK_R89_1	X89	Landrace	CK	Root	1	P11
CK_R89_2	X89	Landrace	CK	Root	2	P11
CK_R89_3	X89	Landrace	CK	Root	3	P11
CK_R9_1	X9	Landrace	CK	Root	1	P08
CK_R9_2	X9	Landrace	CK	Root	2	P08
CK_R9_3	X9	Landrace	CK	Root	3	P08
CK_R90_1	X90	Landrace	CK	Root	1	P14
CK_R90_2	X90	Landrace	CK	Root	2	P14
CK_R90_3	X90	Landrace	CK	Root	3	P14
CK_R91_1	X91	Landrace	CK	Root	1	P05
CK_R91_2	X91	Landrace	CK	Root	2	P05
CK_R91_3	X91	Landrace	CK	Root	3	P05
CK_R92_1	X92	Landrace	CK	Root	1	P05
CK_R92_2	X92	Landrace	CK	Root	2	P05
CK_R92_3	X92	Landrace	CK	Root	3	P05
CK_R93_1	X93	Landrace	CK	Root	1	P14
CK_R93_2	X93	Landrace	CK	Root	2	P14
CK_R93_3	X93	Landrace	CK	Root	3	P14
CK_R94_1	X94	Landrace	CK	Root	1	P11
CK_R94_2	X94	Landrace	CK	Root	2	P11
CK_R94_3	X94	Landrace	CK	Root	3	P11
CK_R95_1	X95	Landrace	CK	Root	1	P08
CK_R95_2	X95	Landrace	CK	Root	2	P08
CK_R95_3	X95	Landrace	CK	Root	3	P08
CK_R96_1	X96	Landrace	CK	Root	1	P11
CK_R96_2	X96	Landrace	CK	Root	2	P11
CK_R96_3	X96	Landrace	CK	Root	3	P11
CK_R97_1	X97	Landrace	CK	Root	1	P08
CK_R97_2	X97	Landrace	CK	Root	2	P08
CK_R97_3	X97	Landrace	CK	Root	3	P08
