"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Microhabitat"	"Description"	"Library"
"18.16"	"Gemmatimonadales"	"JH15.108"	0.014056604	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.17"	"Chthoniobacterales"	"JH15.108"	0.009245283	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.18"	"Vicinamibacterales"	"JH15.108"	0.007075472	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.19"	"Propionibacteriales"	"JH15.108"	0.046226415	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.20"	"Micrococcales"	"JH15.108"	0.044245283	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.21"	"Glycomycetales"	"JH15.108"	0.037830189	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.22"	"Sphingobacteriales"	"JH15.108"	0.026603774	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.23"	"Sphingomonadales"	"JH15.108"	0.041415094	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.24"	"Chitinophagales"	"JH15.108"	0.029339623	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.25"	"Streptomycetales"	"JH15.108"	0.08745283	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.26"	"Xanthomonadales"	"JH15.108"	0.048867925	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.27"	"Rhizobiales"	"JH15.108"	0.049716981	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.28"	"Burkholderiales"	"JH15.108"	0.32490566	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19"	"<0.5%"	"JH15.109"	0.034716981	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.1"	"Frankiales"	"JH15.109"	0.005849057	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.2"	"Rokubacteriales"	"JH15.109"	0.001037736	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.3"	"Pyrinomonadales"	"JH15.109"	0.001603774	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.4"	"Acidobacteriales"	"JH15.109"	0.007830189	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.5"	"Subgroup_7"	"JH15.109"	0.001603774	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.6"	"Pseudomonadales"	"JH15.109"	0	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.7"	"Solirubrobacterales"	"JH15.109"	0.014622642	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.8"	"Pseudonocardiales"	"JH15.109"	0.022924528	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.9"	"Tepidisphaerales"	"JH15.109"	0.018113208	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.10"	"Caulobacterales"	"JH15.109"	0.007641509	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.11"	"Nitrososphaerales"	"JH15.109"	0.003867925	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.12"	"Micropepsales"	"JH15.109"	0.019716981	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.13"	"Gaiellales"	"JH15.109"	0.010566038	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.14"	"Paenibacillales"	"JH15.109"	0.017830189	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.15"	"Pedosphaerales"	"JH15.109"	0.007830189	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.16"	"Gemmatimonadales"	"JH15.109"	0.016698113	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.17"	"Chthoniobacterales"	"JH15.109"	0.012075472	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.18"	"Vicinamibacterales"	"JH15.109"	0.003962264	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.19"	"Propionibacteriales"	"JH15.109"	0.046981132	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.20"	"Micrococcales"	"JH15.109"	0.053207547	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.21"	"Glycomycetales"	"JH15.109"	0.042924528	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.22"	"Sphingobacteriales"	"JH15.109"	0.034433962	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.23"	"Sphingomonadales"	"JH15.109"	0.055943396	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.24"	"Chitinophagales"	"JH15.109"	0.046981132	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.25"	"Streptomycetales"	"JH15.109"	0.074528302	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.26"	"Xanthomonadales"	"JH15.109"	0.043867925	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.27"	"Rhizobiales"	"JH15.109"	0.073867925	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"19.28"	"Burkholderiales"	"JH15.109"	0.293301887	"JH15.109"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"28"	"<0.5%"	"JH15.111"	0.038018868	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.1"	"Frankiales"	"JH15.111"	0.008490566	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.2"	"Rokubacteriales"	"JH15.111"	0.000566038	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.3"	"Pyrinomonadales"	"JH15.111"	0.001698113	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.4"	"Acidobacteriales"	"JH15.111"	0.011509434	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.5"	"Subgroup_7"	"JH15.111"	0.002075472	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.6"	"Pseudomonadales"	"JH15.111"	0.02509434	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.7"	"Solirubrobacterales"	"JH15.111"	0.018207547	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.8"	"Pseudonocardiales"	"JH15.111"	0.021415094	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.9"	"Tepidisphaerales"	"JH15.111"	0.016320755	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.10"	"Caulobacterales"	"JH15.111"	0.011226415	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.11"	"Nitrososphaerales"	"JH15.111"	0.005188679	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.12"	"Micropepsales"	"JH15.111"	0.025377358	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.13"	"Gaiellales"	"JH15.111"	0.014528302	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.14"	"Paenibacillales"	"JH15.111"	0.009150943	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.15"	"Pedosphaerales"	"JH15.111"	0.015849057	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.16"	"Gemmatimonadales"	"JH15.111"	0.015566038	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.17"	"Chthoniobacterales"	"JH15.111"	0.013396226	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.18"	"Vicinamibacterales"	"JH15.111"	0.005849057	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.19"	"Propionibacteriales"	"JH15.111"	0.050471698	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.20"	"Micrococcales"	"JH15.111"	0.044716981	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.21"	"Glycomycetales"	"JH15.111"	0.009245283	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.22"	"Sphingobacteriales"	"JH15.111"	0.039528302	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.23"	"Sphingomonadales"	"JH15.111"	0.060377358	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.24"	"Chitinophagales"	"JH15.111"	0.046886792	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.25"	"Streptomycetales"	"JH15.111"	0.050377358	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.26"	"Xanthomonadales"	"JH15.111"	0.038679245	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.27"	"Rhizobiales"	"JH15.111"	0.081132075	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"28.28"	"Burkholderiales"	"JH15.111"	0.285943396	"JH15.111"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29"	"<0.5%"	"JH15.113"	0.044528302	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.1"	"Frankiales"	"JH15.113"	0.006792453	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.2"	"Rokubacteriales"	"JH15.113"	0.002075472	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.3"	"Pyrinomonadales"	"JH15.113"	0.002924528	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.4"	"Acidobacteriales"	"JH15.113"	0.014150943	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.5"	"Subgroup_7"	"JH15.113"	0.003301887	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.6"	"Pseudomonadales"	"JH15.113"	0.014150943	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.7"	"Solirubrobacterales"	"JH15.113"	0.011981132	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.8"	"Pseudonocardiales"	"JH15.113"	0.020283019	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.9"	"Tepidisphaerales"	"JH15.113"	0.014528302	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.10"	"Caulobacterales"	"JH15.113"	0.009339623	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"29.11"	"Nitrososphaerales"	"JH15.113"	0.007641509	"JH15.113"	"Barke"	"RHIZO"	"BARKE"	"JH15"
